sid_A,sid_B,species_A,species_B,gap_mean,gap_std,n_runs,npos_bin,nneg_bin,gap_ci_lo,gap_ci_hi,gap_p,gap_snr,concept,j
190,40,Red cockaded Woodpecker,Olive sided Flycatcher,0.09675089841535645,0.010806128833016198,3,10,15,0.08583958341059567,0.1061658668754581,0.0,8.953335639567614,"a large, hawk-like body",62
190,59,Red cockaded Woodpecker,California Gull,0.2977753621880196,0.009358409044366797,9,10,15,0.28619707567202834,0.30759322163575353,0.0,31.819015469883052,"a large, hawk-like body",62
190,108,Red cockaded Woodpecker,White necked Raven,0.08381303146809045,0.0032793009036883045,12,11,15,0.0796842834224123,0.08729217561528246,0.0,25.558200941019418,"a large, hawk-like body",62
190,110,Red cockaded Woodpecker,Geococcyx,0.13595215007145725,0.009665307232378472,6,10,15,0.12437389938018906,0.1457700206396073,0.0,14.06599363980442,"a large, hawk-like body",62
190,135,Red cockaded Woodpecker,Bank Swallow,0.12759884167394905,0.003279297911468453,12,11,15,0.12347006824578943,0.13107793341856144,0.0,38.91041469236338,"a large, hawk-like body",62
190,137,Red cockaded Woodpecker,Cliff Swallow,0.26743177970607196,0.009358408386195595,9,10,15,0.2558534963001573,0.2772496422638825,0.0,28.57663062364095,"a large, hawk-like body",62
190,149,Red cockaded Woodpecker,Brown Thrasher,0.3368387746034419,0.002644927246681436,18,12,15,0.33457293792154874,0.34043339526126415,0.0,127.35275607248457,"a large, hawk-like body",62
1,2,Black footed Albatross,Laysan Albatross,0.06733767591655482,0.0008584879439996019,3,15,11,0.06658791463294467,0.06820349508044349,0.0,78.43753230173319,long wingspan,191
1,3,Black footed Albatross,Sooty Albatross,0.004646521373504815,0.0021615480170918406,3,16,11,0.0025538171501440663,0.006657726985322188,0.0,2.149626718728481,long wingspan,191
1,67,Black footed Albatross,Anna Hummingbird,0.25736476990590035,0.0038225372687123362,3,10,11,0.2545209967536136,0.26140476338928215,0.0,67.32825653398227,long wingspan,191
1,69,Black footed Albatross,Rufous Hummingbird,0.1540235852601756,0.002821673336156508,3,17,11,0.15213099218129944,0.15703511501503928,0.0,54.58590235515717,long wingspan,191
