sid_A,sid_B,concept_idx,concept,shift_B_fwd,shift_A_fwd,shift_A_bwd,shift_B_bwd,leakage_fwd,leakage_bwd,leakage_sym,n_A,n_B,part
31,42,3,beak_3,-1.0380158528278116e-06,0.002411484718322754,-1.4355739494931186e-06,-0.0006274461629800498,-0.0024125227341755817,0.0006260105890305567,-0.0008932560725725125,10,10,beak
31,45,3,beak_3,-9.209214226757467e-07,0.002289253519847989,-0.0010540427174419165,-0.01649642549455166,-0.002290174441270665,0.015442382777109742,0.006576104167919539,10,10,beak
31,49,3,beak_3,-4.921331537843798e-07,0.002413374138996005,-1.606653313501738e-06,-0.008316511288285255,-0.0024138662721497894,0.008314904634971754,0.002950519181410982,10,10,beak
36,40,3,beak_3,2.9200680984331484e-08,0.05681801959872246,-9.616871743389765e-09,-0.00215507741086185,-0.056817990398041474,0.0021550677939901064,-0.027331461302025684,10,10,beak
36,42,3,beak_3,4.852195729654341e-07,0.05677581578493118,-8.508823157171719e-07,-0.0006978809833526611,-0.05677533056535822,0.000697030101036944,-0.028039150232160637,10,10,beak
36,45,3,beak_3,5.049555511504877e-06,0.05401746556162834,-1.5522507965215482e-05,-0.014270305633544922,-0.05401241600611684,0.014254783125579706,-0.019878816440268565,10,10,beak
36,49,3,beak_3,1.8498388953958056e-06,0.05681564286351204,-6.023262358212378e-06,-0.0078300591558218,-0.05681379302461664,0.007824035893463588,-0.024494878565576528,10,10,beak
40,42,3,beak_3,2.2223503592933014e-10,-1.1086464155596332e-06,6.31371233072997e-10,8.940696716308594e-08,1.1088686505955625e-06,-8.877559593001294e-08,5.100465273327748e-07,10,10,beak
40,45,3,beak_3,4.777598316962894e-09,-8.331537537742406e-05,1.0842353681539407e-08,0.0003344118595123291,8.332015297574102e-05,-0.00033440101715864756,-0.00012554043209145327,10,10,beak
40,49,3,beak_3,2.248270875027103e-10,-4.7683716530855236e-08,-1.5024852195733018e-10,1.01327898960335e-07,4.7908543618357946e-08,-1.0147814748229234e-07,-2.6784801931967195e-08,10,10,beak
42,45,3,beak_3,-1.049897946359124e-09,-1.6170739399967715e-05,-1.5301406364187642e-08,0.0003227829874958843,1.6169689502021356e-05,-0.0003227982889022485,-0.00015331429970011357,10,10,beak
42,49,3,beak_3,9.240466031235073e-11,7.152557657263969e-08,-7.30597082831963e-10,-6.3061715991352685e-06,-7.143317191232734e-08,6.3054410020524365e-06,3.1170039150700546e-06,10,10,beak
45,49,3,beak_3,-7.491325781927571e-09,0.0003337085363455117,-7.06306900610798e-06,-0.00040171146974898875,-0.0003337160276712936,0.00039464840074288077,3.0466186535793582e-05,10,10,beak
8,10,4,eye_0,-2.026263157262065e-09,-1.2671947843045928e-05,-1.2897658496768827e-09,0.00021566152281593531,1.2669921579888666e-05,-0.000215662812581785,-0.00010149644550094816,10,10,eye
8,11,4,eye_0,-8.395807640226849e-07,-0.0004765212652273476,-2.6181942303082906e-07,0.003891634987667203,0.00047568168446332493,-0.0038918968070902338,-0.0017081075613134544,10,10,eye
8,19,4,eye_0,-1.6218610454643567e-08,-0.0011002242099493742,-9.921132360091178e-09,0.0012312590843066573,0.0011002079913389196,-0.0012312690054390174,-6.553050705004893e-05,10,10,eye
8,24,4,eye_0,-1.8718674610340713e-08,-8.188486390281469e-05,8.756432912093715e-09,0.002240115310996771,8.186614522820435e-05,-0.0022401065545638588,-0.0010791202046678272,10,10,eye
8,25,4,eye_0,8.200760817089758e-07,-1.7523765563964844e-05,4.301691660657525e-07,0.0006834983942098916,1.834384164567382e-05,-0.0006830682250438258,-0.000332362191699076,10,10,eye
8,30,4,eye_0,-3.576888119027899e-08,-0.0005182623863220215,-1.0778622083762457e-07,0.003150004195049405,0.0005182266174408312,-0.0031501119812702427,-0.0013159426819147058,10,10,eye
8,31,4,eye_0,-1.5379846285412668e-09,-0.0005510390037670732,-6.2173115544794655e-09,0.0006483614561147988,0.0005510374657824446,-0.0006483676734263533,-4.8665103821954325e-05,10,10,eye
8,34,4,eye_0,2.3363440071477726e-09,-0.0006539762252941728,1.1061891882491182e-06,0.05166402459144592,0.0006539785616381799,-0.051662918402257674,-0.025504469920309747,10,10,eye
8,35,4,eye_0,3.734021536416776e-09,-7.385015578620369e-06,1.748558098313424e-08,8.887052899808623e-06,7.388749600156785e-06,-8.869567318825489e-06,-7.404088593343516e-07,10,10,eye
8,45,4,eye_0,1.7771017724044214e-07,-0.0004160284879617393,2.903443601098843e-07,0.004160469863563776,0.00041620619813897974,-0.004160179519203666,-0.0018719866605323432,10,10,eye
8,46,4,eye_0,-9.967933692678344e-06,-0.0004015684244222939,7.683911826461554e-05,0.04290017485618591,0.00039160049072961556,-0.0428233357379213,-0.02121586762359584,10,10,eye
8,48,4,eye_0,4.6993228863811964e-08,-1.7762183688319055e-06,-2.601358630727191e-07,7.0862470238353126e-06,1.8232115976957175e-06,-7.346382886908032e-06,-2.761585644606157e-06,10,10,eye
8,49,4,eye_0,4.761386662721634e-08,2.1576881863438757e-06,3.130087975478091e-07,-2.121925263054436e-06,-2.1100743197166594e-06,2.434934060602245e-06,1.624298704427929e-07,10,10,eye
10,11,4,eye_0,-2.6909884098813563e-08,-0.005143183283507824,-4.662778163577741e-09,0.003634416963905096,0.005143156373623725,-0.0036344216266832596,0.0007543673734702327,10,10,eye
10,19,4,eye_0,-1.0317956267158479e-08,-0.01220278162509203,1.513319176638106e-07,0.0012213349109515548,0.012202771307135762,-0.001221183579033891,0.005490793864050936,10,10,eye
10,24,4,eye_0,-2.2783573513152078e-05,-0.000690847635269165,2.0413473976077512e-05,0.0019885539077222347,0.000668064061756013,-0.001968140433746157,-0.0006500381859950721,10,10,eye
10,25,4,eye_0,1.2024683826439286e-07,9.590386980562471e-06,-1.4540128745466063e-07,0.0004395127180032432,-9.470140142298078e-06,-0.00043965811929069787,-0.00022456412971649797,10,10,eye
10,30,4,eye_0,-1.8863848083583434e-07,-0.005623227450996637,-3.393674035123695e-07,0.0031117915641516447,0.0056230388125158015,-0.003112130931555157,0.0012554539404803222,10,10,eye
10,31,4,eye_0,-1.2278173144864013e-08,-0.0060100615955889225,-6.455707080021966e-09,0.0006026506307534873,0.006010049317415778,-0.0006026570864605674,0.002703696115477605,10,10,eye
10,34,4,eye_0,1.1570214297762504e-07,-0.007171553559601307,0.000115799623017665,0.05131641775369644,0.0071716692617442845,-0.05120061813067878,-0.022014474434467246,10,10,eye
10,35,4,eye_0,-2.087699568775747e-09,0.00011913776688743383,2.6211921522190096e-11,-3.266334488216671e-06,-0.0001191398545870026,3.2663607001381934e-06,-5.7936746943432205e-05,10,10,eye
10,45,4,eye_0,3.557568017953372e-09,-0.0043953717686235905,7.232586196614932e-10,0.004049235489219427,0.004395375326191608,-0.0040492347659608074,0.0001730702801154005,10,10,eye
10,46,4,eye_0,-3.357382070134918e-07,-0.004332190845161676,2.9459040433721384e-06,0.04119691997766495,0.004331855106954663,-0.041193974073621575,-0.018431059483333456,10,10,eye
10,48,4,eye_0,-1.943094574130555e-08,0.00017971397028304636,-1.2488635547924787e-07,-3.910064606316155e-06,-0.00017973340122878767,3.785178250836907e-06,-8.797411148897538e-05,10,10,eye
10,49,4,eye_0,5.909896572120488e-08,0.00022205710411071777,1.9178514332196528e-09,-2.6297570002498105e-05,-0.00022199800514499657,2.6299487853931325e-05,-9.784925864553262e-05,10,10,eye
11,19,4,eye_0,5.192750762716969e-08,-0.01152334176003933,1.2670499316413952e-08,0.000910854316316545,0.011523393687546957,-0.0009108416458172286,0.005306276020864864,10,10,eye
11,24,4,eye_0,4.275059950487048e-08,0.0024419487453997135,-3.5808557896643833e-08,-0.007115602493286133,-0.0024419059948002086,0.007115566684728236,0.0023368303449640138,10,10,eye
11,25,4,eye_0,-0.0001017168615362607,0.003548484994098544,-7.001327321631834e-05,-0.007291615009307861,-0.003650201855634805,0.007221601736091543,0.001785699940228369,10,10,eye
11,30,4,eye_0,-1.233493946983799e-07,-0.0038563013076782227,1.0939702406176366e-05,0.0019491792190819979,0.0038561779582835243,-0.0019382395166758215,0.0009589692208038514,10,10,eye
11,31,4,eye_0,-1.985642666113563e-05,-0.004090684466063976,-2.550291583247599e-06,-0.0008219241863116622,0.004070828039402841,0.0008193738947284146,0.0024451009670656276,10,10,eye
11,34,4,eye_0,5.9522484718854685e-08,-0.005234932992607355,3.200187393304077e-06,0.045146260410547256,0.005234992515092074,-0.04514306022315395,-0.01995403385403094,10,10,eye
11,35,4,eye_0,-2.830142342702402e-08,0.0037279606331139803,-3.108002744056648e-08,-0.0004542648675851524,-0.0037279889345374073,0.0004542337875577118,-0.0016368775734898477,10,10,eye
11,45,4,eye_0,9.340967153548263e-06,-0.0029058337677270174,-0.0006181600620038807,0.00011672973778331652,0.0029151747348805657,-0.0007348897997871973,0.0010901424675466842,10,10,eye
11,46,4,eye_0,-2.510015972845281e-09,-0.00203074817545712,-9.369591680297162e-08,0.010367870330810547,0.002030745665441147,-0.01036796402672735,-0.004168609180643101,10,10,eye
11,48,4,eye_0,-6.567968853232742e-07,0.0038299381267279387,-4.233091203786898e-06,-0.002825409872457385,-0.003830594923613262,0.002821176781253598,-0.0005047090711798319,10,10,eye
11,49,4,eye_0,-7.835551514290273e-06,0.0039027452003210783,-0.0006472336826846004,-0.0012076676357537508,-0.003910580751835369,0.0005604339530691504,-0.001675073399383109,10,10,eye
19,24,4,eye_0,1.4192635955367905e-09,0.0011739730834960938,-2.91379596006891e-08,-0.019551265984773636,-0.0011739716642324982,0.019551236846814035,0.009188632591290768,10,10,eye
19,25,4,eye_0,-4.398833741703356e-09,0.001217997050844133,-2.6022061661024054e-07,-0.016356926411390305,-0.0012180014496778746,0.016356666190773694,0.00756933237054791,10,10,eye
19,30,4,eye_0,3.379735176167742e-07,0.0008836567285470665,1.5152836851939355e-07,0.00041244030580855906,-0.0008833187550294497,-0.00041228877744003967,-0.0006478037662347447,10,10,eye
19,31,4,eye_0,4.7295779381784087e-07,0.0008625328773632646,5.195539415581152e-06,-0.002659749938175082,-0.0008620599195694467,0.0026649454775906634,0.0009014427790106083,10,10,eye
19,34,4,eye_0,-5.185016789255315e-07,0.0007947742706164718,2.3513572159572504e-05,0.040591176599264145,-0.0007952927722953973,-0.04056766302710457,-0.020681477899699985,10,10,eye
19,35,4,eye_0,-9.085260899155401e-08,0.0012249767314642668,-1.6396530782003538e-06,-0.0011149048805236816,-0.0012250675840732583,0.0011132652274454813,-5.590117831388852e-05,10,10,eye
19,45,4,eye_0,-6.202571789515332e-09,0.0009495794656686485,-8.983779480331577e-07,-0.004891914315521717,-0.000949585668240438,0.004891015937573684,0.001970715134666623,10,10,eye
19,46,4,eye_0,3.0382744853341137e-07,0.0009624719386920333,-8.438321856374387e-06,-0.016090374439954758,-0.0009621681112434999,0.016081936118098383,0.007559884003427442,10,10,eye
19,48,4,eye_0,-4.3872395849575696e-07,0.001228934503160417,-4.240113776177168e-05,-0.007008252199739218,-0.0012293732271189128,0.006965851061977446,0.0028682389174292666,10,10,eye
19,49,4,eye_0,1.0666089877986451e-07,0.0012316585052758455,2.786837285384536e-07,-0.0028839290607720613,-0.0012315518443770657,0.0028842077445006,0.0008263279500617671,10,10,eye
24,25,4,eye_0,-3.258210057310862e-08,0.0019031763076782227,-2.2649008315056562e-05,-0.000774383544921875,-0.0019032088897787958,0.0007517345366068184,-0.0005757371765859887,10,10,eye
24,30,4,eye_0,-2.0303828023315873e-06,-0.007981103844940662,-2.1898571844758408e-07,0.0029319345485419035,0.00797907346213833,-0.002932153534260351,0.00252345996393899,10,10,eye
24,31,4,eye_0,-8.198651535451518e-09,-0.008682983927428722,7.306272031826211e-09,0.00038298367871902883,0.008682975728777187,-0.000382976372446997,0.004149999678165095,10,10,eye
24,34,4,eye_0,-2.705288295601349e-07,-0.010698789730668068,7.664017175557092e-05,0.049820128828287125,0.010698519201838508,-0.049743488656531554,-0.019522484727346523,10,10,eye
24,35,4,eye_0,-9.173585340249701e-07,0.0020834028255194426,-9.482646134983952e-08,-6.371140625560656e-05,-0.0020843201840534675,6.361657979425672e-05,-0.0010103518021296054,10,10,eye
24,45,4,eye_0,1.330374699293202e-09,-0.005678880028426647,-1.8409869184665695e-08,0.0034757673274725676,0.0056788813588013465,-0.0034757857373417522,0.0011015478107297971,10,10,eye
24,46,4,eye_0,-2.12807799471193e-06,-0.005775016732513905,1.3889364254282555e-06,0.03417114168405533,0.005772888654519193,-0.0341697527476299,-0.014198432046555354,10,10,eye
24,48,4,eye_0,-3.7002791941631585e-07,0.0021819411776959896,-7.047343615340651e-07,-0.00023117437376640737,-0.002182311205615406,0.0002304696394048733,-0.0009759207831052663,10,10,eye
24,49,4,eye_0,7.670155355299357e-08,0.002250415040180087,1.447938302590046e-08,-0.000169283157447353,-0.002250338338626534,0.0001692976368303789,-0.0010405203508980776,10,10,eye
25,30,4,eye_0,-0.00018628177349455655,-0.007877504453063011,-6.006674811942503e-05,0.0030989646911621094,0.007691222679568455,-0.0031590314392815344,0.00226609562014346,10,10,eye
25,31,4,eye_0,-3.9174074117909186e-06,-0.00812463741749525,4.661178465426019e-08,0.0005872428300790489,0.00812072001008346,-0.0005871962182943946,0.0037667618958945326,10,10,eye
25,34,4,eye_0,-8.619381475227783e-08,-0.009309476241469383,2.6600497449180693e-07,0.05120198801159859,0.009309390047654631,-0.051201722006624095,-0.020946165979484732,10,10,eye
25,35,4,eye_0,-5.308902650824621e-09,0.0005319595220498741,7.663913774436093e-12,-7.385015578620369e-06,-0.0005319648309525249,7.385023242534143e-06,-0.0002622899038549954,10,10,eye
25,45,4,eye_0,-9.333054151738907e-08,-0.006719869561493397,-1.514853096296065e-07,0.004011225886642933,0.006719776230951879,-0.0040113773719525625,0.0013541994294996584,10,10,eye
25,46,4,eye_0,-6.899674190208316e-06,-0.005964517593383789,2.6230344474242884e-07,0.04064090922474861,0.005957617919193581,-0.04064064692130387,-0.017341514501055144,10,10,eye
25,48,4,eye_0,-1.961816487039414e-08,0.0006274223560467362,-1.953076278482513e-08,-1.0110437870025635e-05,-0.0006274419742116066,1.009090710724081e-05,-0.0003086755335521829,10,10,eye
25,49,4,eye_0,1.3301148555910913e-06,0.0006933569675311446,5.179070399208285e-07,-3.4809112548828125e-05,-0.0006920268526755535,3.5327019588748954e-05,-0.0003283499165434023,10,10,eye
