sid_A,sid_B,var_old,var_new,shift_B_fwd,shift_A_fwd,delta_z_old_mean,delta_z_new_mean,shift_A_bwd,leakage_sym,part
27,36,0,3,0.00023729234551410626,-0.00779109001159668,-0.44888566732406615,0.30171899771339666,9.531695832265541e-06,0.0001234120206731859,beak
27,45,0,3,6.049682509967624e-06,-0.00779109001159668,-0.44888566732406615,0.30171899771339666,0.001048104954770679,0.0005270773186403233,beak
28,47,0,1,0.0019901207408111075,-0.35908709168434144,-0.7437933325767517,0.6481648474931717,0.03347857996122912,0.01773435035102011,beak
29,34,0,1,0.01242344396887347,-0.25485233068466184,-0.6700156569480896,0.7287073072744533,0.001600343152631467,0.007011893560752469,beak
29,37,0,2,5.225443544532027e-07,-0.07961459159851074,-0.6019057720899582,0.2878553303424269,0.00013059809394917466,6.556031915181393e-05,beak
30,35,0,2,0.0005512718271347694,-0.24451922178268432,-0.8279573678970337,0.3965527728199959,0.00036249677159503333,0.00045688429936490137,beak
31,34,3,1,0.00084146063627486,-0.19924410581588745,-0.5108985781669617,0.35059101739898324,0.0050611369402304264,0.002951298788252643,beak
31,35,3,2,0.00015650055938749575,-0.09157989025115967,-0.4197368621826172,0.4887743219733238,0.002503573220747057,0.0013300368900672765,beak
31,46,3,0,0.0008380905099329538,-0.2334361791610718,-0.7758034005761146,0.6443960177712142,0.002891989868658129,0.0018650401892955416,beak
32,34,0,1,7.27398485764752e-06,-0.07603880167007446,-0.8005302548408508,0.8129071980714798,5.760028783790006e-05,3.243713634777379e-05,beak
32,35,0,2,3.121411259598972e-06,-0.01634049415588379,-0.6400935173034668,0.02484904434531927,1.4401439717914854e-05,8.761425488756914e-06,beak
33,43,2,1,0.0003949642181396484,-0.7871667861938476,-0.9716251492500305,0.9936463594436645,1.9229483586968855e-05,0.00020709685086330864,beak
33,47,2,1,0.27951547391712667,-0.7871667861938476,-0.9716251492500305,0.9936463594436645,0.41247557023889386,0.34599552207801026,beak
34,45,1,3,0.006260799305800901,-0.4006350517272949,-0.5520671248435974,0.7850638329982758,0.0004328309353354598,0.0033468151205681804,beak
34,48,1,0,0.06855918953260698,-0.4773507952690125,-0.7376113116741181,0.714694295823574,0.056521056313067676,0.06254012292283732,beak
37,46,2,0,0.0003566401807660213,-0.13655365109443665,-0.6145802140235901,0.965455150604248,3.202561381954183e-06,0.00017992137107398774,beak
37,47,2,1,0.04870371297001839,-0.2448047637939453,-0.9803202271461486,0.9947573781013489,0.08251011567190289,0.06560691432096064,beak
37,49,2,3,0.0025328545889351517,-0.6389446675777435,-0.9799246788024902,0.9411874175071716,0.00013282057275318949,0.0013328375808441706,beak
38,44,0,1,8.593738821218721e-05,-0.9352626204490662,-0.9874667406082154,0.9914880633354187,0.002468074092757888,0.0012770057404850375,beak
39,45,0,3,0.00017360578349325805,-0.5190708458423614,-0.9889817118644715,0.8314195156097413,1.0476368458967045e-05,9.204107597611255e-05,beak
40,46,3,0,6.267522375935641e-06,-0.10185050964355469,-0.5585850358009339,0.9318823933601379,2.7565146274355358e-05,1.6916334325145498e-05,beak
42,43,3,1,0.0009388100482055961,-0.03385312557220459,-0.3923760175704956,0.5353104531764984,0.00032931802561506627,0.0006340640369103312,beak
43,45,1,3,0.00016319665155606344,-0.5945976734161377,-0.7763138055801392,0.8840674877166748,2.276031673318357e-05,9.297848414462351e-05,beak
43,49,1,3,0.000604935217415914,-0.5945976734161377,-0.7763138055801392,0.8840674877166748,1.3194066703192675e-05,0.0003090646420595533,beak
44,48,1,0,0.00015076054314704378,-0.22491718530654908,-0.723920875787735,0.5713085502386093,0.038166503256070426,0.019158631899608734,beak
0,11,1,0,0.5018137933686375,-0.5333309412002564,-0.7734484314918518,0.7782217502593994,0.650543624162674,0.5761787087656558,eye
0,39,1,2,1.5848237723048442e-05,-0.5677086234092712,-0.7665569424629212,0.7492858354002238,2.5561807888152543e-06,9.202209255931848e-06,eye
0,42,1,2,0.5606196233537049,-0.5677086234092712,-0.7665569424629212,0.7492858354002238,0.6414640851318836,0.6010418542427942,eye
