sid_A,sid_B,var_old,var_new,shift_B_fwd,shift_A_fwd,delta_z_old_mean,delta_z_new_mean,shift_A_bwd,leakage_sym,part
4,9,1,3,0.11012726360931993,-0.43668426275253297,-0.9776073932647705,0.9051307797431946,0.006225085869664327,0.05817617473949213,beak
4,29,1,0,0.0002312631111749397,-0.5873565793037414,-0.9357889652252197,0.8305767238140106,0.00045805213594576346,0.0003446576235603516,beak
4,33,1,2,0.03539575694594532,-0.34277671575546265,-0.9570826530456543,0.20455656116349416,0.1589456794783473,0.09717071821214632,beak
4,37,1,2,0.001807518155692378,-0.34277671575546265,-0.9570826530456543,0.20455656116349416,0.03972525367571507,0.020766385915703723,beak
5,7,2,3,2.7894589834431826e-06,-0.1832483410835266,-0.7633754968643188,0.8095089733600617,1.0526234063235052e-05,6.657846523339118e-06,beak
5,29,2,0,6.2981407523921e-06,-0.1540197491645813,-0.6017859548330307,0.5314669340848923,3.3802393772930373e-06,4.839190064842569e-06,beak
5,39,2,0,1.066292401787905e-05,-0.1540197491645813,-0.6017859548330307,0.5314669340848923,3.5347065079349704e-06,7.09881526290701e-06,beak
6,7,2,3,0.0001413451995176729,-0.017844152450561524,-0.8204505920410157,0.8463594794273377,0.0010344103169700248,0.0005878777582438489,beak
6,13,2,0,0.00043933921697316693,-0.005799055099487305,-0.2871013402938843,0.5654335092753172,0.0023404607880365804,0.0013899000025048736,beak
6,17,2,0,0.0024973761872388424,-0.005799055099487305,-0.2871013402938843,0.5654335092753172,0.02027154185489053,0.011384459021064686,beak
6,19,2,1,0.0006515601387945935,-0.183897066116333,-0.7978495836257935,0.7480317702516913,9.792999367164157e-05,0.0003747450662331175,beak
6,22,2,0,3.2451619432549705e-06,-0.005799055099487305,-0.2871013402938843,0.5654335092753172,0.0028516080105305264,0.0014274265862368907,beak
6,27,2,0,5.7257734260929284e-05,-0.005799055099487305,-0.2871013402938843,0.5654335092753172,2.8957392919437554e-05,4.310756359018342e-05,beak
6,32,2,0,9.676916288299253e-05,-0.005799055099487305,-0.2871013402938843,0.5654335092753172,1.1115307160025622e-06,4.894034679949755e-05,beak
6,47,2,1,2.752342500116356e-05,-0.183897066116333,-0.7978495836257935,0.7480317702516913,3.74153554730583e-05,3.2469390237110926e-05,beak
7,29,3,0,0.0010809444167534821,-0.40709853172302246,-0.9188281416893005,0.9641825795173645,0.0003426319770369446,0.0007117881968952133,beak
7,33,3,2,0.0001108385612454299,-0.10838580131530762,-0.27596858739852903,0.33059127554297446,0.0002799986832542345,0.0001954186222498322,beak
7,44,3,1,0.0050606668228283525,-0.3034369945526123,-0.9155518531799316,0.9281264781951905,0.0021933161944616584,0.0036269915086450054,beak
7,48,3,0,2.0160025343329835e-05,-0.40709853172302246,-0.9188281416893005,0.9641825795173645,2.7295749168843032e-05,2.3727887256086434e-05,beak
8,35,0,2,0.003435883206111612,-0.07073801755905151,-0.6913816213607789,0.38720251694321633,0.03276441200869158,0.018100147607401598,beak
8,41,0,1,4.892034456815963e-06,-0.10535967350006104,-0.876127564907074,0.4344146650284529,9.122453775489703e-05,4.8058286105856494e-05,beak
10,23,0,1,0.00037180612562224267,-0.6492025971412658,-0.9263180375099183,0.9789080381393432,0.012673367949901149,0.0065225870377616955,beak
10,35,0,2,9.631633838580456e-06,0.0015061616897583008,-0.5432056188583374,0.023865535125514724,0.0004608074980296806,0.0002352195659341305,beak
10,41,0,1,6.176766783028143e-06,-0.6492025971412658,-0.9263180375099183,0.9789080381393432,3.013061841556919e-05,1.8153692599298667e-05,beak
11,17,3,0,6.0477480360532354e-05,-0.6261763036251068,-0.7542171001434326,0.8773032426834106,0.0007385763765341835,0.00039952692844735793,beak
11,22,3,0,3.4278615521543544e-05,-0.6261763036251068,-0.7542171001434326,0.8773032426834106,0.0006357316087814979,0.00033500511215152075,beak
11,25,3,0,0.5599034547805786,-0.6261763036251068,-0.7542171001434326,0.8773032426834106,0.6771211385726928,0.6185122966766357,beak
