sid_A,part,drop_A
16,tail,-2.5451183319091797e-05
23,tail,-0.00013273954391479492
23,tail,-0.0003008842468261719
23,tail,0.0006851553916931152
23,tail,-4.1425228118896484e-05
23,tail,-0.0025019049644470215
9,tail,-0.004967212677001953
9,tail,-0.005424916744232178
9,tail,-0.001393735408782959
9,tail,-0.007364094257354736
9,tail,-0.0013183355331420898
2,tail,-0.026446163654327393
2,tail,-0.001048445701599121
2,tail,-0.01869267225265503
2,tail,-0.009101808071136475
2,tail,-0.003528416156768799
47,tail,9.298324584960938e-06
47,tail,0.0002792477607727051
47,tail,-0.0018895864486694336
47,tail,0.001109480857849121
47,tail,-0.1524432897567749
8,tail,-0.32448810338974
8,tail,-0.017825663089752197
8,tail,-0.00512385368347168
8,tail,-0.007928013801574707
8,tail,-0.00851529836654663
41,tail,-0.04468238353729248
41,tail,-0.07935631275177002
41,tail,-0.016628503799438477
41,tail,-0.028250694274902344
41,tail,0.11929643154144287
27,tail,-0.4558519124984741
27,tail,-0.5203553438186646
27,tail,-0.8331307172775269
27,tail,-0.4563661813735962
27,tail,-0.3841458559036255
46,tail,0.002331972122192383
46,tail,-0.2617061138153076
46,tail,-0.47384294867515564
46,tail,0.009528614580631256
46,tail,-0.24609428644180298
25,tail,-0.16858762502670288
25,tail,-0.08527296781539917
25,tail,-0.014130771160125732
25,tail,-0.560004711151123
25,tail,-0.41825205087661743
24,tail,-0.3507404327392578
24,tail,-0.0003865957260131836
24,tail,0.12140417098999023
24,tail,-0.0043711066246032715
24,tail,0.00014483928680419922
13,tail,-0.5915647745132446
13,tail,-0.5559868812561035
13,tail,-0.6568126082420349
13,tail,-0.5665720701217651
13,tail,-0.586174726486206
38,tail,-0.01104968786239624
38,tail,-0.009741425514221191
38,tail,-0.009585797786712646
38,tail,-0.02832317352294922
38,tail,0.0019026398658752441
31,tail,-0.019874930381774902
31,tail,-0.5448095798492432
31,tail,-0.0233839750289917
31,tail,-6.562471389770508e-05
31,tail,9.179115295410156e-06
24,beak,-0.009782612323760986
24,beak,0.000579833984375
24,beak,0.03216743469238281
24,beak,0.0011906027793884277
24,beak,0.0034645795822143555
42,beak,9.119510650634766e-05
42,beak,9.894371032714844e-05
42,beak,-6.443262100219727e-05
42,beak,-0.010386466979980469
42,beak,0.00011473894119262695
3,beak,-0.008214116096496582
3,beak,0.05439025163650513
3,beak,-0.09145492315292358
3,beak,-8.916854858398438e-05
3,beak,0.001611471176147461
6,beak,-0.0030689239501953125
6,beak,9.304285049438477e-05
6,beak,-2.5451183319091797e-05
6,beak,-0.00021016597747802734
6,beak,-3.439188003540039e-05
0,beak,-0.0018076300621032715
0,beak,-0.024572551250457764
0,beak,-9.632110595703125e-05
0,beak,-0.00010293722152709961
0,beak,-0.05083572864532471
33,beak,-0.0002460479736328125
33,beak,-0.02189570665359497
33,beak,-0.08176594972610474
33,beak,-0.0012620091438293457
33,beak,-0.6294631958007812
32,beak,0.003229856491088867
32,beak,-0.0036967992782592773
32,beak,-0.005733370780944824
32,beak,-0.0008211135864257812
32,beak,-0.0004967451095581055
35,beak,-0.0009995698928833008
35,beak,-0.0007497072219848633
35,beak,-0.00011080503463745117
35,beak,-0.004585146903991699
35,beak,-4.655122756958008e-05
7,beak,-0.168329656124115
7,beak,-0.05850774049758911
7,beak,-0.009267807006835938
7,beak,-0.0031711459159851074
7,beak,-0.08413785696029663
44,beak,-0.029504358768463135
44,beak,0.01739293336868286
44,beak,-0.05951869487762451
44,beak,-0.04069650173187256
44,beak,-0.013783454895019531
47,beak,-0.06371182203292847
47,beak,-0.10026675462722778
47,beak,-0.00034111738204956055
47,beak,-0.13534194231033325
47,beak,-0.006552517414093018
22,beak,-0.2192457914352417
22,beak,-0.06582251191139221
22,beak,-0.012604773044586182
22,beak,-0.2338395118713379
22,beak,-0.0017535686492919922
4,beak,-0.00949239730834961
4,beak,-0.7066354751586914
4,beak,-0.0028040409088134766
4,beak,-0.24789190292358398
4,beak,-0.004155278205871582
9,beak,-0.0014858245849609375
9,beak,-0.001499474048614502
9,beak,-0.011566698551177979
9,beak,-0.005580723285675049
9,beak,-0.0009067058563232422
31,beak,-0.03899526596069336
31,beak,0.009046435356140137
31,beak,-0.15989291667938232
31,beak,-0.003142833709716797
31,beak,-0.03755080699920654
46,beak,-0.038977205753326416
46,beak,-0.023273110389709473
46,beak,-0.34486985206604004
46,beak,-0.0454777367413044
46,beak,-0.013436615467071533
2,beak,-0.0023331046104431152
2,beak,-0.052455246448516846
2,beak,0.000913083553314209
2,beak,0.0005595684051513672
2,beak,-0.08980798721313477
38,beak,-0.5051219463348389
38,beak,-0.3090950846672058
38,beak,-0.4715151786804199
