species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,attr,model
69,Rufous Hummingbird,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
13,Bobolink,30,9,5,21,0.3,2,0.2222222222222222,has_upper_tail_color::white,baseline
70,Green Violetear,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
181,Worm eating Warbler,29,1,0,28,0.034482758620689655,0,0.0,has_upper_tail_color::white,baseline
20,Yellow breasted Chat,29,2,0,27,0.06896551724137931,0,0.0,has_upper_tail_color::white,baseline
169,Magnolia Warbler,29,5,0,24,0.1724137931034483,0,0.0,has_upper_tail_color::white,baseline
168,Kentucky Warbler,29,0,1,29,0.0,0,,has_upper_tail_color::white,baseline
28,Brown Creeper,29,6,7,23,0.20689655172413793,1,0.16666666666666666,has_upper_tail_color::white,baseline
9,Brewer Blackbird,29,0,0,29,0.0,0,,has_upper_tail_color::white,baseline
166,Golden winged Warbler,29,6,0,23,0.20689655172413793,0,0.0,has_upper_tail_color::white,baseline
23,Brandt Cormorant,29,0,0,29,0.0,0,,has_upper_tail_color::white,baseline
190,Red cockaded Woodpecker,29,10,15,19,0.3448275862068966,6,0.6,has_upper_tail_color::white,baseline
33,Yellow billed Cuckoo,29,2,0,27,0.06896551724137931,0,0.0,has_upper_tail_color::white,baseline
179,Tennessee Warbler,29,0,0,29,0.0,0,,has_upper_tail_color::white,baseline
19,Gray Catbird,29,1,0,28,0.034482758620689655,0,0.0,has_upper_tail_color::white,baseline
43,Yellow bellied Flycatcher,29,0,0,29,0.0,0,,has_upper_tail_color::white,baseline
117,Clay colored Sparrow,29,5,2,24,0.1724137931034483,0,0.0,has_upper_tail_color::white,baseline
141,Artic Tern,29,15,22,14,0.5172413793103449,13,0.8666666666666667,has_upper_tail_color::white,baseline
160,Black throated Blue Warbler,29,1,0,28,0.034482758620689655,0,0.0,has_upper_tail_color::white,baseline
119,Field Sparrow,29,6,1,23,0.20689655172413793,0,0.0,has_upper_tail_color::white,baseline
124,Le Conte Sparrow,29,1,1,28,0.034482758620689655,0,0.0,has_upper_tail_color::white,baseline
125,Lincoln Sparrow,29,2,1,27,0.06896551724137931,0,0.0,has_upper_tail_color::white,baseline
115,Brewer Sparrow,29,2,1,27,0.06896551724137931,0,0.0,has_upper_tail_color::white,baseline
60,Glaucous winged Gull,29,15,25,14,0.5172413793103449,12,0.8,has_upper_tail_color::white,baseline
78,Gray Kingbird,29,1,0,28,0.034482758620689655,0,0.0,has_upper_tail_color::white,baseline
97,Orchard Oriole,29,0,0,29,0.0,0,,has_upper_tail_color::white,baseline
149,Brown Thrasher,29,1,0,28,0.034482758620689655,0,0.0,has_upper_tail_color::white,baseline
39,Least Flycatcher,29,2,0,27,0.06896551724137931,0,0.0,has_upper_tail_color::white,baseline
153,Philadelphia Vireo,29,0,0,29,0.0,0,,has_upper_tail_color::white,baseline
37,Acadian Flycatcher,29,1,0,28,0.034482758620689655,0,0.0,has_upper_tail_color::white,baseline
157,Yellow throated Vireo,29,4,0,25,0.13793103448275862,0,0.0,has_upper_tail_color::white,baseline
